[START OF SIMULATION]
[0x00000000]	call r0,r0,0x00BA   R0=(PC+4)>>2=0x00000000,PC=(R0+0x00BA)<<2=0x000002E8
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F00]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F04]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F08]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F0C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F10]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F14]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F18]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F1C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F20]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F24]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F28]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F2C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F30]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F34]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F38]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F3C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F40]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F44]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F48]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F4C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F50]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F54]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F58]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F5C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F60]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F64]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F68]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F6C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F70]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F74]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F78]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F7C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F80]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F84]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F88]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F8C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002F90]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002F94]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002F98]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002F9C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002FA0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002FA4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002FA8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002FAC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002FB0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002FB4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002FB8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002FBC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002FC0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002FC4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002FC8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002FCC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002FD0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002FD4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002FD8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002FDC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002FE0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002FE4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002FE8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002FEC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002FF0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002FF4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002FF8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002FFC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003000]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003004]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003008]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000300C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003010]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003014]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003018]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000301C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003020]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003024]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003028]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000302C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003030]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003034]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003038]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000303C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003040]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003044]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003048]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000304C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003050]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003054]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003058]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000305C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003060]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003064]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003068]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000306C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003070]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003074]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003078]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000307C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003080]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003084]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003088]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000308C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003090]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003094]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003098]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000309C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000030A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000030A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000030A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000030AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000030B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000030B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000030B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000030BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000030C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000030C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000030C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000030CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000030D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000030D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000030D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000030DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000030E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000030E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000030E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000030EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000030F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000030F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000030F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000030FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003100]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003104]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003108]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000310C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003110]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003114]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003118]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000311C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003120]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003124]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003128]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000312C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003130]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003134]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003138]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000313C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003140]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003144]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003148]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000314C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003150]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003154]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003158]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000315C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003160]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003164]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003168]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000316C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003170]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003174]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003178]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000317C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003180]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003184]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003188]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000318C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003190]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003194]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003198]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000319C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000031A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000031A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000031A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000031AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000031B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000031B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000031B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000031BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000031C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000031C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000031C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000031CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000031D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000031D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000031D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000031DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000031E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000031E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000031E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000031EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000031F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000031F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000031F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000031FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003200]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003204]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003208]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000320C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003210]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003214]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003218]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000321C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003220]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003224]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003228]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000322C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003230]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003234]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003238]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000323C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003240]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003244]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003248]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000324C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003250]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003254]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003258]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000325C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003260]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003264]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003268]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000326C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003270]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003274]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003278]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000327C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003280]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003284]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003288]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000328C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003290]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003294]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003298]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000329C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000032A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000032A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000032A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000032AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000032B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000032B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000032B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000032BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000032C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000032C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000032C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000032CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000032D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000032D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000032D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000032DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000032E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000032E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000032E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000032EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000032F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000032F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000032F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000032FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003300]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003304]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003308]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000330C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003310]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003314]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003318]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000331C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003320]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003324]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003328]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000332C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003330]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003334]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003338]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000333C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00003340]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00003344]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00003348]=0x0000001C
